ElectorateNm,VoteCollectionPointNm,VoteCollectionPointId,BatchNo,PaperNo,Preferences,Match,PreferencesAfterAudit
Fenner,Charnwood,125,9,49,",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,PROVISIONAL 1,104,3,20,"6,,3,,,4,5,1,,2,,,,,,,,,,,,,,,,,,,,,,",1,"6,,3,,,4,5,1,,2,,,,,,,,,,,,,,,,,,,,,,"
Fenner,ABSENT 1,164,25,23,"5,6,4,2,7,8,3,9,10,1,,,,,,,,,,,,,,,,,,,,,,",1,"5,6,4,2,7,8,3,9,10,1,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Weston,43,4,3,"6,5,1,,,,4,2,,3,,,,,,,,,,,,,,,,,,,,,,",1,"6,5,1,,,,4,2,,3,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Gungahlin FENNER PPVC,161,78,29,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Belconnen FENNER PPVC,158,133,18,",,1,5,3,,4,2,,6,,,,,,,,,,,,,,,,,,,,,,",1,",,1,5,3,,4,2,,6,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Woden CANBERRA PPVC,58,204,12,",,,,,,,,,,6,7,,,,,1,2,,,8,9,11,12,,,3,4,,,10,5",1,",,,,,,,,,,6,7,,,,,1,2,,,8,9,11,12,,,3,4,,,10,5"
Canberra,Turner (Canberra),39,4,5,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Monash,29,31,23,"6,5,1,,,,4,2,,3,,,,,,,,,,,,,,,,,,,,,,",1,"6,5,1,,,,4,2,,3,,,,,,,,,,,,,,,,,,,,,,"
Fenner,PRE_POLL 4,197,5,32,"2,,,3,,1,4,,6,5,,,,,,,,,,,,,,,,,,,,,,",1,"2,,,3,,1,4,,6,5,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Page,146,19,17,"6,,1,5,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,",1,"6,,1,5,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,POSTAL 2,75,1,5,"2,,6,,5,1,4,,3,,,,,,,,,,,,,,,,,,,,,,,",1,"2,,6,,5,1,4,,3,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Ainslie North,119,22,13,",,,,,,,,,,,,,,2,4,,,,,11,12,7,8,1,3,,,5,6,9,10",1,",,,,,,,,,,,,,,2,4,,,,,11,12,7,8,1,3,,,5,6,9,10"
Fenner,Palmerston,147,29,21,"5,,6,,,1,4,,3,2,,,,,,,,,,,,,,,,,,,,,,",1,"5,,6,,,1,4,,3,2,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Tuggeranong CANBERRA PPVC,57,100,45,"2,,3,,5,1,6,,4,,,,,,,,,,,,,,,,,,,,,,,",1,"2,,3,,5,1,6,,4,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,City CANBERRA PPVC,52,102,12,"3,,6,,5,1,,,,2,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,,,,2,,,,,,,,,,,,,,,,,,,,,,"
