ElectorateNm,VoteCollectionPointNm,VoteCollectionPointId,BatchNo,PaperNo,Preferences,Match,PreferencesAfterAudit
Fenner,Fraser Central,132,10,29,"2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,",1,"2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Holder,21,41,46,",6,,3,2,,4,,5,1,,,,,,,,,,,,,,,,,,,,,,",1,",6,,3,2,,4,,5,1,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Fraser Central,132,32,10,",,,,,,,,,,,,,,1,2,5,6,7,8,,,9,10,,,,,3,4,11,12",1,",,,,,,,,,,,,,,1,2,5,6,7,8,,,9,10,,,,,3,4,11,12"
Fenner,Holt,136,6,16,",,,,,,,,,,11,12,9,10,3,4,,,7,8,,,,,1,2,5,6,,,,",1,",,,,,,,,,,11,12,9,10,3,4,,,7,8,,,,,1,2,5,6,,,,"
Canberra,Woden CANBERRA PPVC,58,46,40,",,1,,5,2,3,4,6,,,,,,,,,,,,,,,,,,,,,,,",1,",,1,,5,2,3,4,6,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Holt,136,12,44,"2,8,9,7,10,3,4,5,6,1,,,,,,,,,,,,,,,,,,,,,,",1,"2,8,9,7,10,3,4,5,6,1,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Griffith,20,28,16,"6,,1,5,,2,,4,,3,7,,,12,1,2,,8,11,,3,4,,,10,,,9,5,6,,",1,"6,,1,5,,2,,4,,3,7,,,12,1,2,,8,11,,3,4,,,10,,,9,5,6,,"
Fenner,Nicholls,145,64,1,",,1,4,5,6,,2,3,,,,,,,,,,,,,,,,,,,,,,,",1,",,1,4,5,6,,2,3,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Tuggeranong CANBERRA PPVC,57,172,8,",4,2,5,6,,,1,,3,,,,,,,,,,,,,,,,,,,,,,",1,",4,2,5,6,,,1,,3,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Woden CANBERRA PPVC,58,66,29,"1,2,,5,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,",1,"1,2,,5,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Gungahlin FENNER PPVC,161,76,15,"3,,2,,5,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,2,,5,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,ABSENT 1,164,12,32,"1,6,3,5,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,",1,"1,6,3,5,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Watson,151,44,27,"10,9,1,3,5,4,6,2,8,7,,,,,,,,,,,,,,,,,,,,,,",1,"10,9,1,3,5,4,6,2,8,7,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Deakin,12,12,25,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,City FENNER PPVC,159,88,25,",,,,,,,,,,10,11,3,4,7,8,,,,,,,12,,1,2,,,5,6,9,",1,",,,,,,,,,,10,11,3,4,7,8,,,,,,,12,,1,2,,,5,6,9,"
Fenner,PRE_POLL 1,194,23,39,",,,,,,,,,,15,16,11,12,1,2,17,18,7,8,19,20,5,6,3,4,21,22,9,10,14,13",1,",,,,,,,,,,15,16,11,12,1,2,17,18,7,8,19,20,5,6,3,4,21,22,9,10,14,13"
Canberra,City CANBERRA PPVC,52,113,3,",,,,,,,,,,,,,,3,4,,,5,6,,,9,10,1,2,,,7,8,11,12",1,",,,,,,,,,,,,,,3,4,,,5,6,,,9,10,1,2,,,7,8,11,12"
Canberra,Red Hill,35,17,41,"5,6,2,7,10,3,4,1,8,9,,,,,,,,,,,,,,,,,,,,,,",1,"5,6,2,7,10,3,4,1,8,9,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Richardson,36,12,1,"5,,1,,2,6,,4,,3,,,,,,,,,,,,,,,,,,,,,,",1,"5,,1,,2,6,,4,,3,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Fraser Central,132,50,53,",6,1,5,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,",1,",6,1,5,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,PRE_POLL 6,94,4,19,"1,,,6,,2,5,,4,3,,,,,,,,,,,,,,,,,,,,,,",1,"1,,,6,,2,5,,4,3,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Gowrie,19,5,3,"5,,2,,,1,6,3,,4,,,,,,,,,,,,,,,,,,,,,,",1,"5,,2,,,1,6,3,,4,,,,,,,,,,,,,,,,,,,,,,"
Canberra,POSTAL 3,76,47,49,"1,5,3,6,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,",1,"1,5,3,6,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,PRE_POLL 1,89,11,14,",,,,,,,,,,,,,,9,10,,,7,8,6,5,1,2,3,4,,,11,12,,",1,",,,,,,,,,,,,,,9,10,,,7,8,6,5,1,2,3,4,,,11,12,,"
Canberra,Narrabundah,30,12,2,",3,2,8,9,1,10,7,5,4,,,,,,,,,,,,,,,,,,,,,,",1,",3,2,8,9,1,10,7,5,4,,,,,,,,,,,,,,,,,,,,,,"
Canberra,POSTAL 6,79,4,7,"6,4,1,,,3,,2,,5,,,,,,,,,,,,,,,,,,,,,,",1,"6,4,1,,,3,,2,,5,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Weetangera,152,19,16,"3,,1,,,6,5,2,4,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,1,,,6,5,2,4,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Gilmore,17,27,15,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Melba,143,8,6,",,,,,,,,,,8,17,15,16,1,3,12,11,10,9,13,14,18,19,2,4,20,21,6,7,22,5",1,",,,,,,,,,,8,17,15,16,1,3,12,11,10,9,13,14,18,19,2,4,20,21,6,7,22,5"
Fenner,Giralang,133,20,40,"4,,3,,2,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,",1,"4,,3,,2,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Holder,21,13,13,"9,5,,6,1,8,2,4,3,7,,,,,,,,,,,,,,,,,,,,,,",1,"9,5,,6,1,8,2,4,3,7,,,,,,,,,,,,,,,,,,,,,,"
Canberra,PRE_POLL 4,92,12,29,",,,,,,,,,,,,9,10,7,8,,,11,12,,,5,6,1,2,,,3,4,,13",1,",,,,,,,,,,,,9,10,7,8,,,11,12,,,5,6,1,2,,,3,4,,13"
Fenner,Aranda,121,15,19,",5,2,,6,,4,1,,3,,,,,,,,,,,,,,,,,,,,,,",1,",5,2,,6,,4,1,,3,,,,,,,,,,,,,,,,,,,,,,"
