ElectorateNm,VoteCollectionPointNm,VoteCollectionPointId,BatchNo,PaperNo,Preferences,Match,PreferencesAfterAudit
Canberra,City CANBERRA PPVC,52,133,35,",,,,,,,,,,10,9,18,17,1,2,20,19,8,7,22,21,5,6,3,15,16,4,14,13,12,11",0,",,,,,,,,,,10,9,18,17,1,2,20,19,8,7,22,21,5,6,3,4,16,15,14,13,12,11"
Fenner,Belconnen FENNER PPVC,158,133,18,",,1,5,3,,4,6,,2,,,,,,,,,,,,,,,,,,,,,,",0,",,1,5,3,,4,2,,6,,,,,,,,,,,,,,,,,,,,,,"
