ElectorateNm,VoteCollectionPointNm,VoteCollectionPointId,BatchNo,PaperNo,Preferences,Match,PreferencesAfterAudit
Fenner,Parkes (Fenner),148,14,44,",4,2,,,6,5,1,,3,,,,,,,,,,,,,,,,,,,,,,",1,",4,2,,,6,5,1,,3,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Macquarie,142,32,27,",,,,,,,,,,,,6,7,8,9,,,10,11,,,12,13,3,4,,,1,2,5,",1,",,,,,,,,,,,,6,7,8,9,,,10,11,,,12,13,3,4,,,1,2,5,"
Canberra,Mawson,28,14,28,"5,,3,,6,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,",1,"5,,3,,6,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Weston,43,13,26,"6,,2,,,5,3,1,,4,,,,,,,,,,,,,,,,,,,,,,",1,"6,,2,,,5,3,1,,4,,,,,,,,,,,,,,,,,,,,,,"
